PlantaID;Nome_Planta;Localizacao;Data_Inspecao;Nivel_Radiacao;Temperatura_Reator;Pressao_Reator;Eficiência_Operacional;Falhas_Detectadas;Custo_Manutencao;Status_Operacional;Potencia_Gerada
NUC-01400;NucleoForte;SC - Brasil;2024-07-31;3.18;330.0;104.92;52.6;3;152.69;Parcialmente Operando;24.08
NUC-01401;Angra 2;MG - Brasil;2025-01-11;0.24;312.57;69.53;73.41;4;140.8;Parcialmente Operando;30.29
NUC-01402;Reator Atlântico;BA - Brasil;2024-08-30;4.03;265.93;60.18;59.43;2;228.77;Parcialmente Operando;31.32
NUC-01403;Reator Atlântico;RJ - Brasil;2023-08-17;0.91;316.25;64.27;91.7;4;13.05;Parcialmente Operando;43.06
NUC-01404;NucleoForte;MG - Brasil;2023-12-02;2.74;379.1;72.02;57.11;5;396.44;Desativada;0.0
NUC-01405;Angra 1;MG - Brasil;2023-04-19;4.26;330.91;122.07;86.28;16;133.21;Parcialmente Operando;46.75
NUC-01406;NucleoForte;MG - Brasil;2024-12-26;4.01;226.99;49.12;63.02;2;303.95;Desativada;0
NUC-01407;Central Nuclear Santa;BA - Brasil;2024-03-12;2.34;269.06;96.7;77.5;0;280.46;Operando;87.96
NUC-01408;Central Nuclear Santa;SP - Brasil;;1.76;224.79;64.6;88.98;0;85.87;Desativada;0
NUC-01409;Angra 2;MG - Brasil;2023-10-04;2.02;287.87;104.39;63.99;5;186.22;Em Manutenção;8.17
NUC-01410;Reator Atlântico;RJ - Brasil;2024-11-10;1.87;215.97;66.57;94.98;2;429.32;Parcialmente Operando;39.66
NUC-01411;Angra 1;MG - Brasil;2024-11-27;4.26;390.81;978.43;60.98;5;93.76;Em Manutenção;14.21
NUC-01412;NucleoForte;SP - Brasil;2024-06-21;;271.38;96.14;89.23;3;21.03;Parcialmente Operando;45.01
NUC-01413;NucleoForte;SC - Brasil;2024-04-05;0.05;264.15;57.62;94.48;2;284.72;Parcialmente Operando;
NUC-01414;Reator Atlântico;SC - Brasil;2024-12-29;1.04;410.3;134.65;69.88;4;;Parcialmente Operando;34.85
NUC-01415;Reator Atlântico;SC - Brasil;2023-08-14;12.43;230.51;61.51;65.31;5;262.8;Parcialmente Operando;19.99
NUC-01416;Reator Atlântico;BA - Brasil;2024-06-19;1.54;232.35;68.68;90.13;1;308.44;Desativada;0
NUC-01417;Central Nuclear Santa;MG - Brasil;2024-05-19;4.81;370.87;105.99;64.4;0;193.19;Desativada;0
NUC-01418;Angra 2;SC - Brasil;2023-06-09;1.6;251.3;87.72;88.38;1;464.94;Desativada;0
NUC-01419;Central Nuclear Santa;BA - Brasil;2023-03-17;2.02;237.37;55.95;86.56;3;117.21;Operando;86.22
NUC-01420;Angra 1;SP - Brasil;2023-06-26;4.47;429.81;124.14;61.55;0;281.31;Parcialmente Operando;35.0
NUC-01421;Angra 2;BA - Brasil;2024-06-06;3.46;417.66;112.59;70.72;5;127.19;Desativada;0
NUC-01422;Angra 2;SP - Brasil;2024-01-01;1.16;367.56;146.57;58.01;5;16.37;Operando;57.67
NUC-01423;NucleoForte;RJ - Brasil;;1.34;242.65;78.87;72.97;3;120.25;Parcialmente Operando;35.23
NUC-01424;Angra 2;MG - Brasil;2023-10-14;3.21;345.31;118.14;71.1;5;34.04;Em Manutenção;2.11
NUC-01425;Central Nuclear Santa;SC - Brasil;2023-05-31;0.38;341.11;73.63;72.03;2;238.52;Em Manutenção;0.27
NUC-01426;Angra 2;SP - Brasil;2023-07-02;4.07;322.76;120.59;52.46;5;333.0;Operando;58.44
NUC-01427;Central Nuclear Santa;SC - Brasil;2023-12-01;0.58;277.78;113.87;88.27;5;437.99;Parcialmente Operando;37.37
NUC-01428;Angra 2;SP - Brasil;2024-06-19;2.36;263.18;95.37;93.87;4;85.75;Desativada;0
NUC-01429;Reator Atlântico;BA - Brasil;2023-03-03;3.61;415.82;80.25;84.01;0;74.99;Em Manutenção;8.3
NUC-01430;Reator Atlântico;SC - Brasil;2023-08-01;3.18;;108.25;53.71;4;434.74;Operando;51.82
NUC-01431;NucleoForte;BA - Brasil;2023-03-25;1.33;299.76;64.59;96.46;3;76.08;Operando;82.1
NUC-01432;Central Nuclear Santa;RJ - Brasil;2024-05-01;2.37;307.74;113.5;92.11;1;321.93;Parcialmente Operando;54.93
NUC-01433;Angra 2;MG - Brasil;2024-10-28;0.79;320.14;96.56;96.83;4;345.11;Operando;81.15
NUC-01434;Angra 1;BA - Brasil;2023-08-12;3.56;418.76;140.53;87.69;0;427.37;Em Manutenção;0.51
NUC-01435;NucleoForte;RJ - Brasil;2023-06-13;;;75.7;89.86;4;307.43;Desativada;0
NUC-01436;Reator Atlântico;SC - Brasil;2023-05-08;0.34;311.83;95.87;88.57;4;365.67;Parcialmente Operando;49.18
NUC-01437;Angra 1;RJ - Brasil;2023-11-16;4.96;208.75;70.32;78.19;3;187.81;Em Manutenção;
NUC-01438;Angra 1;BA - Brasil;2024-03-29;0.91;425.34;;73.26;3;107.31;Desativada;0
NUC-01439;Central Nuclear Santa;SP - Brasil;2024-05-26;0.4;430.25;88.33;92.64;0;376.45;Desativada;0
NUC-01440;NucleoForte;RJ - Brasil;2023-07-18;3.36;344.74;72.19;62.44;0;255.22;Desativada;
NUC-01441;Angra 2;BA - Brasil;2024-06-01;0.47;291.91;102.17;62.5;0;452.38;Em Manutenção;2.08
NUC-01442;Central Nuclear Santa;BA - Brasil;2023-07-05;0.94;343.89;73.98;96.0;4;345.03;Desativada;0.0
NUC-01443;NucleoForte;RJ - Brasil;2024-12-02;3.03;397.68;118.89;91.97;18;376.95;Operando;77.05
NUC-01444;Central Nuclear Santa;SC - Brasil;2023-11-14;3.0;248.61;56.45;82.93;2;318.0;Desativada;0
NUC-01445;Angra 2;SC - Brasil;2024-07-18;1.11;245.21;95.68;62.44;4;439.15;Desativada;0
NUC-01446;Angra 1;MG - Brasil;2024-07-21;1.69;269.34;73.17;91.9;5;19.2;Parcialmente Operando;28.64
NUC-01447;Angra 2;SP - Brasil;2024-06-03;1.55;346.34;101.27;78.05;1;40.85;Em Manutenção;15.4
NUC-01448;Reator Atlântico;MG - Brasil;2024-10-24;3.18;402.33;126.45;87.56;25;498.82;Em Manutenção;18.61
NUC-01449;Reator Atlântico;SC - Brasil;2024-07-18;2.87;;76.76;80.47;0;382.9;Desativada;0
NUC-01450;Angra 2;SC - Brasil;2023-12-30;3.44;448.53;83.56;95.43;3;242.37;Parcialmente Operando;46.7
NUC-01451;NucleoForte;MG - Brasil;2024-11-05;0.28;257.1;64.79;98.79;3;345.95;Em Manutenção;2.25
NUC-01452;NucleoForte;SC - Brasil;2023-02-12;4.88;230.2;97.86;72.84;4;407.19;Operando;63.25
NUC-01453;Angra 1;RJ - Brasil;2023-06-08;2.94;326.59;106.99;77.31;1;264.04;Em Manutenção;3.41
NUC-01454;NucleoForte;RJ - Brasil;2023-06-05;0.52;338.21;84.92;62.96;0;60.98;Em Manutenção;4.96
NUC-01455;Central Nuclear Santa;BA - Brasil;2023-10-18;1.36;219.38;89.25;64.4;5;296.99;Desativada;0
NUC-01456;Reator Atlântico;RJ - Brasil;2023-06-25;25.46;381.77;60.99;92.7;3;344.7;Operando;103.65
NUC-01457;NucleoForte;RJ - Brasil;2024-03-30;3.45;410.57;104.05;84.36;2;356.21;Parcialmente Operando;40.04
NUC-01458;Central Nuclear Santa;BA - Brasil;2024-06-22;4.08;302.98;69.48;70.8;1;281.0;Desativada;0
NUC-01459;Central Nuclear Santa;SC - Brasil;2023-10-23;0.88;420.04;143.17;81.92;0;238.92;Operando;86.95
NUC-01460;Angra 2;MG - Brasil;2024-08-29;0.12;445.72;128.34;75.62;4;61.59;Desativada;0
NUC-01461;Angra 2;SC - Brasil;2024-11-03;1.34;304.66;95.3;99.08;5;143.71;Parcialmente Operando;52.13
NUC-01462;Angra 1;SC - Brasil;2023-06-11;4.72;379.44;114.64;86.56;3;33.42;Desativada;0
NUC-01463;NucleoForte;MG - Brasil;2024-09-29;2.78;397.99;83.6;99.56;2;315.17;Em Manutenção;18.86
NUC-01464;Central Nuclear Santa;SP - Brasil;2024-12-01;2.17;413.12;104.44;91.7;2;;Em Manutenção;19.46
NUC-01465;NucleoForte;BA - Brasil;2023-05-04;2.18;212.82;53.25;87.08;5;156.79;Operando;104.43
NUC-01466;Central Nuclear Santa;SP - Brasil;2023-05-06;4.16;205.95;66.25;75.15;0;439.41;Desativada;0
NUC-01467;Reator Atlântico;BA - Brasil;2024-08-05;1.04;337.49;68.19;54.65;4;332.73;;15.61
NUC-01468;Reator Atlântico;MG - Brasil;2023-04-16;2.03;388.05;81.71;97.59;2;264.37;Operando;98.73
NUC-01469;Central Nuclear Santa;RJ - Brasil;2024-01-17;0.94;225.77;64.41;83.11;2;436.54;Desativada;0
NUC-01470;Angra 2;SC - Brasil;2023-11-09;3.19;350.07;116.18;74.69;0;112.69;Em Manutenção;6.21
NUC-01471;Angra 2;RJ - Brasil;2023-10-01;0.89;258.12;72.07;89.42;5;;Parcialmente Operando;52.21
NUC-01472;Angra 2;SP - Brasil;2023-10-12;3.09;388.39;120.19;50.56;4;175.99;Desativada;0
NUC-01473;Angra 1;BA - Brasil;2024-12-30;0.53;448.6;166.34;63.69;2;183.52;Em Manutenção;15.15
NUC-01474;Angra 2;SP - Brasil;2024-11-23;0.7;314.87;56.69;56.75;;414.64;Operando;66.53
NUC-01475;NucleoForte;MG - Brasil;2023-08-26;4.05;412.39;150.0;59.7;2;54.57;Em Manutenção;16.62
NUC-01476;Angra 1;SC - Brasil;2024-12-04;0.99;447.01;103.03;88.83;1;160.35;Parcialmente Operando;45.67
NUC-01477;Reator Atlântico;MG - Brasil;2024-10-11;3.92;443.55;144.78;51.66;3;345.21;;30.48
NUC-01478;NucleoForte;BA - Brasil;2024-01-16;1.95;441.36;132.34;94.52;0;393.3;Parcialmente Operando;52.94
NUC-01479;NucleoForte;MG - Brasil;2023-03-24;3.54;291.63;68.01;74.85;2;455.33;Operando;75.51
NUC-01480;;BA - Brasil;2024-02-29;3.45;2292.17;73.95;61.87;1;188.21;Operando;50.01
NUC-01481;NucleoForte;MG - Brasil;2024-05-15;4.35;281.45;89.12;94.26;0;460.22;Em Manutenção;16.75
NUC-01482;Central Nuclear Santa;SP - Brasil;2024-11-23;3.84;265.11;572.93;100.0;1;349.86;Em Manutenção;10.93
NUC-01483;Angra 1;MG - Brasil;2024-02-21;0.36;223.95;89.08;65.94;5;479.2;Operando;68.72
NUC-01484;NucleoForte;SC - Brasil;2023-09-04;2.96;416.65;129.89;58.31;1;98.4;Em Manutenção;16.56
NUC-01485;Angra 2;SP - Brasil;2023-02-23;1.11;413.91;137.13;87.13;1;29.07;Parcialmente Operando;46.72
NUC-01486;NucleoForte;MG - Brasil;2024-03-05;0.43;373.26;102.25;80.67;3;112.54;Desativada;0
NUC-01487;Reator Atlântico;SC - Brasil;2024-06-01;3.63;284.33;63.29;100.0;2;473.53;Em Manutenção;6.3
NUC-01488;Angra 1;SP - Brasil;2023-07-23;4.82;337.49;84.61;77.53;3;453.02;Parcialmente Operando;25.0
NUC-01489;;RJ - Brasil;2024-01-20;2.93;330.38;66.45;55.94;0;127.03;Desativada;0
NUC-01490;Angra 2;MG - Brasil;2023-04-08;1.9;359.43;69.33;62.94;2;200.87;Operando;69.57
NUC-01491;NucleoForte;MG - Brasil;2025-02-01;4.35;422.51;150.65;;1;117.72;Parcialmente Operando;35.12
NUC-01492;Angra 2;SP - Brasil;2024-03-21;1.03;423.04;95.1;64.53;16;358.43;Desativada;0
NUC-01493;Reator Atlântico;RJ - Brasil;2023-10-13;1.87;390.94;80.36;53.05;4;399.54;Operando;51.82
NUC-01494;Angra 2;RJ - Brasil;2024-12-01;3.55;412.8;129.55;77.69;3;179.76;Operando;76.08
NUC-01495;Central Nuclear Santa;BA - Brasil;2023-04-19;3.59;346.32;103.96;72.61;23;320.81;Em Manutenção;14.12
NUC-01496;Angra 2;MG - Brasil;2023-11-12;4.84;;85.26;63.64;2;18.89;Parcialmente Operando;22.18
NUC-01497;Angra 1;BA - Brasil;2025-01-17;1.32;251.59;60.65;99.21;2;219.6;Em Manutenção;10.56
;;SC - Brasil;2023-12-23;3.79;227.39;89.82;84.74;2;383.23;Parcialmente Operando;40.98
NUC-01499;Angra 1;RJ - Brasil;2024-11-21;1.08;328.07;78.54;97.96;;322.95;Em Manutenção;17.15
NUC-01500;Angra 2;RJ - Brasil;2024-04-28;2.8;355.82;120.35;55.86;6;83.6;Operando;53.92
NUC-01501;NucleoForte;MG - Brasil;2024-09-08;4.42;246.94;105.11;90.06;5;80.12;Parcialmente Operando;51.47
NUC-01502;Central Nuclear Santa;SC - Brasil;2023-04-02;0.28;278.04;65.28;57.17;1;85.6;Operando;53.0
NUC-01503;NucleoForte;RJ - Brasil;2024-02-29;0.33;381.56;132.32;77.17;0;36.02;Operando;76.01
NUC-01504;NucleoForte;BA - Brasil;2023-12-12;4.21;284.86;93.84;71.85;0;418.15;Desativada;0
NUC-01505;Angra 1;RJ - Brasil;2024-12-10;2.1;239.32;77.17;74.54;2;403.92;Em Manutenção;11.85
NUC-01506;Reator Atlântico;SP - Brasil;2024-08-13;2.78;354.67;66.85;68.27;0;492.26;Parcialmente Operando;22.65
NUC-01507;NucleoForte;RJ - Brasil;2023-11-24;1.69;345.46;874.98;70.2;1;461.37;Em Manutenção;12.7
NUC-01508;Central Nuclear Santa;BA - Brasil;2025-01-21;4.8;202.36;49.63;87.82;4;461.87;;78.4
NUC-01509;NucleoForte;SP - Brasil;2024-04-11;3.39;289.99;109.9;69.53;4;165.87;Operando;62.26
NUC-01510;NucleoForte;RJ - Brasil;2024-02-22;1.56;;124.8;100.0;0;463.69;Em Manutenção;10.91
NUC-01511;Reator Atlântico;SC - Brasil;2024-11-30;3.23;290.61;78.49;85.55;3;6082.49;Desativada;0
NUC-01512;NucleoForte;SP - Brasil;2025-01-29;0.27;384.0;130.45;75.65;1;346.55;Parcialmente Operando;43.43
NUC-01513;Angra 2;BA - Brasil;2023-02-05;4.56;437.41;123.57;81.07;3;28.01;Em Manutenção;11.97
NUC-01514;;RJ - Brasil;2024-01-01;3.3;248.33;60.93;64.48;4;456.61;Desativada;0
NUC-01515;Angra 1;RJ - Brasil;2024-04-22;4.22;383.04;107.96;60.02;3;420.76;Em Manutenção;0.52
NUC-01516;Reator Atlântico;RJ - Brasil;2024-04-07;2.57;423.95;142.74;68.66;0;101.05;Parcialmente Operando;25.12
NUC-01517;Reator Atlântico;BA - Brasil;2023-07-30;2.45;383.46;139.18;65.72;3;60.14;Parcialmente Operando;30.92
NUC-01518;Angra 1;MG - Brasil;2024-06-13;3.73;358.74;118.85;84.91;5;436.53;Em Manutenção;18.01
NUC-01519;NucleoForte;BA - Brasil;2024-03-14;1.5;358.64;80.41;86.65;3;324.38;Operando;84.49
NUC-01520;Central Nuclear Santa;BA - Brasil;2023-07-19;0.1;267.24;92.48;54.55;4;425.27;Parcialmente Operando;93.62
NUC-01521;NucleoForte;BA - Brasil;2024-04-06;4.53;271.29;117.93;50.21;2;380.85;Parcialmente Operando;25.04
NUC-01522;NucleoForte;SP - Brasil;2024-09-21;2.43;310.55;105.58;75.37;4;47.93;Em Manutenção;15.94
NUC-01523;Reator Atlântico;BA - Brasil;2024-03-06;4.31;417.61;155.32;56.19;0;149.34;Em Manutenção;4.61
NUC-01524;Reator Atlântico;SP - Brasil;2024-08-01;0.8;380.22;141.33;90.05;5;20.06;Desativada;0
NUC-01525;Central Nuclear Santa;RJ - Brasil;2023-07-30;4.04;2067.49;69.77;85.8;14;471.33;Desativada;0
NUC-01526;NucleoForte;RJ - Brasil;2025-01-22;0.75;436.45;136.3;70.67;1;170.85;Parcialmente Operando;36.49
NUC-01527;Central Nuclear Santa;MG - Brasil;2024-04-26;2.03;301.77;75.16;72.11;0;14.84;Parcialmente Operando;38.6
NUC-01528;Angra 2;SC - Brasil;2023-08-18;3.81;422.06;76.48;66.85;5;156.36;Em Manutenção;4.92
NUC-01529;Angra 2;MG - Brasil;2024-04-20;1.0;296.1;;60.68;1;43.51;Operando;70.95
NUC-01530;Angra 1;SP - Brasil;2023-10-16;1.33;419.56;74.66;88.3;2;107.22;Parcialmente Operando;33.47
NUC-01531;NucleoForte;SP - Brasil;2023-12-24;2.04;239.24;97.74;91.01;1;413.08;Operando;87.75
NUC-01532;Angra 1;SP - Brasil;2024-01-29;3.99;401.51;123.12;71.41;5;373.14;Em Manutenção;9.96
NUC-01533;Central Nuclear Santa;SP - Brasil;2023-05-22;;341.38;77.22;61.94;;357.44;Desativada;0
NUC-01534;NucleoForte;MG - Brasil;2024-12-04;4.97;202.78;91.01;91.67;5;350.33;Operando;75.63
NUC-01535;Central Nuclear Santa;MG - Brasil;2025-01-02;3.47;282.76;86.52;65.08;2;422.65;Parcialmente Operando;24.96
NUC-01536;Central Nuclear Santa;MG - Brasil;2023-04-07;0.62;352.03;124.57;78.93;2;440.6;Operando;84.69
NUC-01537;Angra 2;MG - Brasil;2023-03-23;2.56;364.36;106.03;94.16;1;;Em Manutenção;7.29
NUC-01538;Angra 1;SP - Brasil;2023-08-02;4.94;259.18;797.83;55.19;4;208.88;Desativada;0
NUC-01539;Angra 1;BA - Brasil;2023-05-12;0.36;342.72;58.6;79.57;3;210.99;Parcialmente Operando;42.4
NUC-01540;NucleoForte;SC - Brasil;2025-01-21;4.17;250.4;112.08;58.2;2;200.76;Desativada;0
NUC-01541;;RJ - Brasil;2024-10-15;3.55;366.92;73.86;63.9;0;65.93;Em Manutenção;8.59
NUC-01542;Reator Atlântico;SC - Brasil;2023-09-06;4.55;291.23;115.76;54.06;0;114.82;Desativada;0
NUC-01543;Central Nuclear Santa;RJ - Brasil;2024-01-27;0.67;344.46;109.13;94.9;3;282.33;Parcialmente Operando;32.79
NUC-01544;Angra 1;MG - Brasil;2023-02-05;0.85;219.99;71.07;68.38;5;174.55;Operando;78.41
NUC-01545;Angra 1;MG - Brasil;2023-02-17;0.47;332.05;109.46;70.31;5;274.71;Operando;61.13
NUC-01546;NucleoForte;SP - Brasil;2023-07-17;2.69;264.24;65.52;51.66;2;209.87;Em Manutenção;5.24
NUC-01547;Angra 2;SP - Brasil;2024-08-30;2.21;256.28;111.4;82.38;4;64.03;Operando;87.6
NUC-01548;NucleoForte;SC - Brasil;2024-10-09;0.56;1943.23;64.45;82.04;2;197.33;Operando;90.08
NUC-01549;Angra 1;RJ - Brasil;2024-11-16;1.99;284.13;104.87;99.07;3;378.65;Desativada;0
NUC-01550;Reator Atlântico;SP - Brasil;2024-09-07;4.02;225.78;88.14;55.97;0;69.46;Em Manutenção;13.38
NUC-01551;Central Nuclear Santa;RJ - Brasil;2023-04-24;1.11;330.7;83.1;92.32;1;58.12;Em Manutenção;16.09
NUC-01552;Angra 2;MG - Brasil;2024-12-07;1.88;423.14;77.32;79.96;4;21.89;Operando;85.72
NUC-01553;NucleoForte;SP - Brasil;2023-11-16;0.39;321.02;83.99;84.01;4;173.27;Em Manutenção;17.39
NUC-01554;Central Nuclear Santa;SC - Brasil;2023-09-28;3.29;210.22;89.6;59.69;3;51.82;Operando;70.88
NUC-01555;Central Nuclear Santa;SP - Brasil;2024-02-26;4.81;237.98;54.73;;1;485.3;Operando;91.93
NUC-01556;Angra 1;SP - Brasil;2024-10-01;2.12;406.64;90.51;53.27;4;492.97;Parcialmente Operando;16.44
NUC-01557;Angra 1;SC - Brasil;2025-01-08;2.28;395.72;84.36;89.4;3;31.03;Desativada;0
NUC-01558;Central Nuclear Santa;SP - Brasil;2023-06-27;1.97;355.83;126.59;63.64;5;211.17;Operando;51.62
NUC-01559;NucleoForte;RJ - Brasil;2024-04-21;1.34;332.34;73.92;84.0;4;468.61;Em Manutenção;1.42
NUC-01560;Reator Atlântico;SC - Brasil;;1.71;309.32;98.95;75.04;0;167.88;Parcialmente Operando;26.73
NUC-01561;Central Nuclear Santa;BA - Brasil;2023-11-20;3.53;;104.19;64.21;1;429.73;Desativada;0
NUC-01562;Central Nuclear Santa;SP - Brasil;2023-02-25;4.69;401.49;104.73;52.11;2;288.62;Parcialmente Operando;18.19
NUC-01563;Angra 1;BA - Brasil;2024-05-29;4.93;326.07;85.04;68.95;5;322.55;Desativada;0
NUC-01564;NucleoForte;;2024-02-13;0.77;321.85;67.88;54.21;3;51.45;Desativada;0
NUC-01565;NucleoForte;RJ - Brasil;2023-11-03;2.99;317.22;1017.01;84.88;1;66.79;Operando;71.39
NUC-01566;Reator Atlântico;SC - Brasil;2023-03-16;0.71;419.85;140.98;71.85;0;198.26;Parcialmente Operando;37.26
NUC-01567;Angra 1;SP - Brasil;2025-01-20;;421.13;97.28;98.93;3;409.37;Em Manutenção;1.3
NUC-01568;Angra 2;SP - Brasil;2023-06-12;1.91;201.3;60.73;75.1;4;108.89;Operando;74.49
NUC-01569;Angra 2;SP - Brasil;2024-04-25;1.03;308.89;819.51;97.56;5;329.18;Em Manutenção;12.31
NUC-01570;Reator Atlântico;MG - Brasil;2024-03-02;0.3;345.39;112.83;100.0;5;161.82;Em Manutenção;18.13
NUC-01571;NucleoForte;RJ - Brasil;2024-06-09;1.48;445.55;87.66;98.21;5;419.39;Em Manutenção;15.66
NUC-01572;Angra 1;RJ - Brasil;2023-02-12;0.81;443.96;90.95;80.84;1;323.23;Parcialmente Operando;26.12
NUC-01573;Central Nuclear Santa;RJ - Brasil;2023-11-27;0.76;240.92;78.82;90.63;;37.97;Parcialmente Operando;40.67
NUC-01574;Reator Atlântico;MG - Brasil;2023-04-04;4.64;374.98;101.85;84.84;0;436.91;Parcialmente Operando;27.42
NUC-01575;Angra 2;SC - Brasil;2023-12-28;1.39;355.88;113.08;63.68;2;165.19;Desativada;0
NUC-01576;NucleoForte;BA - Brasil;2023-10-11;1.1;427.37;98.05;84.42;2;110.98;Desativada;0
NUC-01577;;RJ - Brasil;2023-06-29;19.84;201.85;70.25;67.24;3;233.15;Parcialmente Operando;31.13
NUC-01578;Angra 2;RJ - Brasil;2023-11-23;3.04;256.9;602.75;63.26;3;428.59;Parcialmente Operando;23.62
NUC-01579;NucleoForte;MG - Brasil;2023-06-27;2.91;256.87;84.73;93.8;0;356.01;Desativada;0
NUC-01580;Reator Atlântico;RJ - Brasil;2024-07-09;1.79;382.16;97.3;51.08;1;396.51;Parcialmente Operando;28.13
NUC-01581;Reator Atlântico;SP - Brasil;2024-05-31;1.25;294.42;120.03;93.72;13;288.29;Em Manutenção;10.45
NUC-01582;;SC - Brasil;2024-01-11;4.49;201.74;;;5;92.01;Em Manutenção;6.34
NUC-01583;;RJ - Brasil;2024-04-03;4.33;218.35;53.03;62.02;4;354.62;Parcialmente Operando;34.63
NUC-01584;Reator Atlântico;SP - Brasil;2023-07-23;1.15;219.98;72.71;79.41;0;98.64;Em Manutenção;14.15
NUC-01585;Central Nuclear Santa;SP - Brasil;2024-04-26;43.01;323.88;71.34;75.1;0;305.81;Em Manutenção;7.82
NUC-01586;Central Nuclear Santa;SC - Brasil;2024-12-26;2.4;235.28;73.69;58.56;0;80.13;Parcialmente Operando;31.36
NUC-01587;Angra 2;SC - Brasil;2023-05-17;3.73;386.56;146.73;70.98;1;399.03;Em Manutenção;10.37
NUC-01588;Angra 2;SP - Brasil;2024-03-05;2.83;210.37;61.7;82.99;3;239.03;Parcialmente Operando;43.96
NUC-01589;NucleoForte;RJ - Brasil;2024-01-23;2.27;203.47;70.62;100.0;2;445.66;Desativada;0
NUC-01590;Central Nuclear Santa;MG - Brasil;2024-01-31;2.01;272.07;82.16;52.2;12;179.53;Desativada;0
NUC-01591;Angra 1;MG - Brasil;2023-06-13;4.48;247.46;55.33;95.98;3;302.38;Desativada;0
NUC-01592;NucleoForte;BA - Brasil;2023-02-26;1.99;351.51;75.26;97.42;4;84.77;Desativada;0
NUC-01593;NucleoForte;SC - Brasil;2023-02-18;4.46;318.07;66.36;94.26;0;346.26;Operando;90.65
NUC-01594;Angra 1;MG - Brasil;2023-11-23;4.55;295.23;68.59;100.0;5;472.86;Parcialmente Operando;27.83
NUC-01595;Angra 2;BA - Brasil;2023-07-11;;332.77;88.05;50.91;2;231.43;Operando;50.74
NUC-01596;Angra 1;RJ - Brasil;2023-10-09;0.41;397.27;122.2;62.37;3;321.48;Operando;71.72
NUC-01597;Reator Atlântico;RJ - Brasil;2024-02-28;1.86;;94.73;84.22;1;12.1;Desativada;0
NUC-01598;Angra 2;RJ - Brasil;2024-02-27;2.81;212.18;77.9;80.45;2;252.46;Parcialmente Operando;
NUC-01599;Angra 1;MG - Brasil;2024-07-25;1.64;308.12;;85.23;1;295.31;Parcialmente Operando;32.91
NUC-01600;Reator Atlântico;RJ - Brasil;2024-07-08;1.9;336.04;94.39;84.15;10;191.42;Em Manutenção;16.17
NUC-01601;NucleoForte;BA - Brasil;2023-12-27;4.69;203.22;49.92;90.2;0;201.49;Desativada;0
NUC-01602;NucleoForte;SC - Brasil;2023-04-08;1.56;312.26;122.08;95.98;0;307.34;Em Manutenção;9.61
NUC-01603;Central Nuclear Santa;RJ - Brasil;2024-06-26;2.42;355.24;97.34;69.25;4;358.87;Operando;59.37
NUC-01604;NucleoForte;RJ - Brasil;2023-08-18;4.61;276.9;98.41;81.26;1;362.95;Parcialmente Operando;33.92
NUC-01605;Central Nuclear Santa;;2024-01-10;3.3;280.95;89.39;74.34;3;395.42;Parcialmente Operando;38.62
NUC-01606;Angra 2;MG - Brasil;2023-03-23;0.74;279.4;101.25;83.85;0;341.62;Em Manutenção;6.05
NUC-01607;Angra 2;MG - Brasil;2024-05-15;4.27;236.23;86.54;70.95;4;287.29;Desativada;0
NUC-01608;Central Nuclear Santa;MG - Brasil;;4.39;230.28;85.37;52.2;0;345.74;Em Manutenção;3.58
NUC-01609;Angra 2;SP - Brasil;2023-03-19;2.68;291.02;68.59;93.61;2;353.75;Operando;110.17
NUC-01610;Central Nuclear Santa;MG - Brasil;2024-11-08;2.17;223.69;90.0;50.28;1;200.82;Operando;50.43
NUC-01611;Reator Atlântico;RJ - Brasil;2024-10-22;0.65;417.09;134.6;85.02;2;;Em Manutenção;12.82
NUC-01612;Reator Atlântico;MG - Brasil;2024-07-23;1.33;260.32;98.28;57.39;1;177.34;Operando;58.1
NUC-01613;Central Nuclear Santa;MG - Brasil;2024-06-21;0.95;340.56;67.49;68.67;0;397.93;Desativada;0
NUC-01614;Reator Atlântico;SP - Brasil;2023-06-08;2.4;347.35;102.26;58.75;2;236.82;Operando;67.22
NUC-01615;Reator Atlântico;BA - Brasil;2023-04-12;0.32;274.81;79.34;80.75;5;425.19;Desativada;0
NUC-01616;Angra 2;BA - Brasil;2024-12-03;3.76;288.27;84.92;61.87;2;481.47;Parcialmente Operando;35.04
NUC-01617;Angra 2;SP - Brasil;;2.83;301.94;55.64;88.84;1;217.29;Parcialmente Operando;39.56
NUC-01618;;SC - Brasil;2023-09-09;4.28;373.15;119.43;53.77;15;3293.18;Em Manutenção;4.5
NUC-01619;Reator Atlântico;SP - Brasil;2024-05-23;0.59;404.2;151.93;96.92;3;228.08;Operando;83.33
NUC-01620;Reator Atlântico;RJ - Brasil;2024-03-07;3.34;346.98;78.01;95.32;4;254.68;Em Manutenção;1.46
NUC-01621;Angra 1;SP - Brasil;2023-07-16;3.7;423.59;97.17;53.94;5;436.3;Parcialmente Operando;17.0
NUC-01622;NucleoForte;SC - Brasil;2025-01-05;3.34;256.03;87.01;90.71;0;121.28;Operando;101.97
NUC-01623;Reator Atlântico;MG - Brasil;2024-02-27;4.43;1512.56;74.06;52.92;2;383.46;Desativada;0
NUC-01624;Angra 2;MG - Brasil;2024-06-17;1.59;281.89;78.43;93.04;5;1707.01;Desativada;0
